year,gmst_C
1750,0.036478215570620864
1751,0.06863043017554477
1752,0.08428460759570958
1753,0.09072783612414098
1754,0.09413984988777375
1755,0.058371865264309604
1756,0.038955928229621024
1757,0.0424012494814686
1758,0.04946038611715354
1759,0.0641067493322892
1760,0.07397444918330232
1761,0.08931764710569898
1762,0.09185569243192988
1763,-0.0019163404669566293
1764,-0.03109096610726169
1765,-0.012843969058770497
1766,0.01019654245061589
1767,0.021582465367240778
1768,-0.011484838398599581
1769,-0.015521897863556075
1770,0.009038544993119506
1771,0.03723382413331573
1772,0.05949458192688571
1773,0.06956287461606546
1774,0.07082626563442578
1775,0.06310624655311363
1776,0.055625383560541725
1777,0.051099036279347886
1778,0.04726441376400982
1779,0.04927382527699182
1780,0.061655341995456366
1781,0.07092355586945827
1782,0.0761708294559615
1783,0.08755417462860408
1784,-0.10108379986064428
1785,-0.1708421509388358
1786,-0.12306431206741802
1787,-0.07406660672521925
1788,-0.041681483801514534
1789,-0.014862872644893728
1790,0.02055129231048938
1791,0.038161827931711
1792,0.052639986575123004
1793,0.05975126833351443
1794,0.0647297377366639
1795,0.057249871396710506
1796,0.03421283932917281
1797,0.02932006031941748
1798,0.024902404478806994
1799,0.022853276603249505
1800,0.022381639107162534
1801,0.02521339040745032
1802,0.03790818538114636
1803,0.044879869784702
1804,0.05167404933327429
1805,0.0575705538975815
1806,0.057318321510110855
1807,0.05831492211126256
1808,0.05492517515709685
1809,0.045200720187359655
1810,-0.24168618292998398
1811,-0.33700018654535535
1812,-0.2640021836525725
1813,-0.17201499327462338
1814,-0.11313863890345584
1815,-0.07092770258691981
1816,-0.5848108278893229
1817,-0.7607705245261867
1818,-0.6044862315283951
1819,-0.4274602546650943
1820,-0.2978147852087954
1821,-0.2243149012809658
1822,-0.17215162529032096
1823,-0.164099468089018
1824,-0.1446654056410131
1825,-0.12388413889972179
1826,-0.09755434674154845
1827,-0.07364630856146104
1828,-0.05076955269022316
1829,-0.034509694198926105
1830,-0.02585929559895877
1831,-0.01697222395817561
1832,-0.3006231396690576
1833,-0.39321803357938073
1834,-0.3157019557365303
1835,-0.22735777211407052
1836,-0.2504477011590136
1837,-0.22656969954106462
1838,-0.16302820336993362
1839,-0.11512221644698119
1840,-0.07607223885684823
1841,-0.05053394095874685
1842,-0.030858123813819596
1843,-0.027024106634696794
1844,-0.022604911853172788
1845,-0.0455062647561746
1846,-0.05332905461469055
1847,-0.03843423868269835
1848,-0.029098548223981613
1849,-0.021898843932069957
1850,-0.013136803989260483
1851,-0.001977078913553719
1852,0.009148606985074133
1853,0.012027477389278566
1854,0.017673197627954534
1855,0.009401742841450228
1856,-0.021767261645500056
1857,-0.03395070501457229
1858,-0.025100457873049726
1859,-0.007807762951447631
1860,0.0024929281337721853
1861,0.01361930080603935
1862,0.008133400089465425
1863,0.000815672955431626
1864,-0.055045025166755045
1865,-0.07050383744858495
1866,-0.04402348226736227
1867,-0.022296350492358705
1868,-0.010664794526361678
1869,-0.0038293862188919126
1870,0.011916233112858905
1871,0.01953987479069668
1872,0.027744382832745152
1873,0.03615363278464022
1874,0.024406486622476742
1875,0.027821887445891598
1876,0.030320172141978824
1877,0.03435478735776215
1878,0.029219677935879224
1879,0.03308572073272343
1880,0.027740268557556888
1881,0.034016503383392675
1882,0.035613425260495324
1883,0.03929651623319485
1884,0.004502818237462248
1885,-0.14262564445304157
1886,-0.14419944117026387
1887,-0.09658231454783915
1888,-0.05831429669519547
1889,-0.0332980961042151
1890,-0.004738362226284275
1891,-0.0030628316938552005
1892,-0.01345446713408288
1893,-0.007780371015090886
1894,0.014858297156753174
1895,0.03110141315918875
1896,0.04604339865122745
1897,0.052326478842473954
1898,0.05807722772398931
1899,0.0628137800841156
1900,0.05989346167159763
1901,0.05858544858490989
1902,0.055883752205024714
1903,0.04368839122823532
1904,-0.020007387299246185
1905,-0.028784221193409416
1906,0.005602803064925619
1907,0.030872096697131774
1908,0.027971659617962684
1909,0.038150140613027204
1910,0.04985565324332368
1911,0.053558983549567465
1912,0.05932081807430265
1913,0.01509391989297424
1914,-0.003150911112677964
1915,0.012464419148173032
1916,0.040386231521064145
1917,0.06751627255526187
1918,0.08424181983800878
1919,0.09784016244579574
1920,0.10996354182605171
1921,0.10786479452574142
1922,0.11912243687196837
1923,0.11349946038592984
1924,0.10419187952567034
