scenario,component,year,med,p05,p17,p83,p95,n,unit
ssp119,ais,2000,0.015674989155850198,-0.21003351847988325,-0.11973899364663683,0.18267408155272283,0.2043778212862503,600,cm rel 1995-2014
ssp119,ais,2001,0.015674989155850198,-0.21003351847988325,-0.11973899364663683,0.18267408155272283,0.2043778212862503,600,cm rel 1995-2014
ssp119,ais,2002,0.015674989155850198,-0.21003351847988325,-0.11973899364663683,0.18267408155272283,0.2043778212862503,600,cm rel 1995-2014
ssp119,ais,2003,0.009330887308869926,-0.16462033037137555,-0.09400214773310814,0.13425849162952158,0.15396446078995477,600,cm rel 1995-2014
ssp119,ais,2004,0.002959764569159227,-0.1175533873141276,-0.06660095867456418,0.08609061066555748,0.10229380064889526,600,cm rel 1995-2014
ssp119,ais,2005,-0.0010597259172936912,-0.06867210586129657,-0.03957727966929434,0.03562155232774934,0.050921869946644216,600,cm rel 1995-2014
ssp119,ais,2006,-0.009037569100737552,-0.028568572342097295,-0.021034167498193333,-0.0027081895013139944,-0.00010498825523806903,600,cm rel 1995-2014
ssp119,ais,2007,-0.010543348648179744,-0.07271058035668,-0.05454387564345705,0.01795855762135738,0.0367728719396873,600,cm rel 1995-2014
ssp119,ais,2008,-0.013578294365606758,-0.1175305949012665,-0.10319520138732516,0.05254403470626603,0.09168112696110711,600,cm rel 1995-2014
ssp119,ais,2009,-0.015589624215572261,-0.1668074340231928,-0.15082132110316773,0.08616421292964713,0.1523361550771706,600,cm rel 1995-2014
ssp119,ais,2010,-0.017069592898615135,-0.21650971518876086,-0.19548408175427154,0.12144738170134024,0.21395232123713231,600,cm rel 1995-2014
ssp119,ais,2011,-0.01807933949060498,-0.2711472952086625,-0.23922281022298372,0.15935601353010317,0.27973210751487004,600,cm rel 1995-2014
ssp119,ais,2012,-0.018605020377826804,-0.32481201093176937,-0.2798403558730204,0.19943970107204168,0.34807915220303204,600,cm rel 1995-2014
ssp119,ais,2013,-0.018790376954011666,-0.37793633464876847,-0.3108176635271516,0.24118856493053986,0.4258779756061641,600,cm rel 1995-2014
ssp119,ais,2014,-0.018750065763770182,-0.42967724270553465,-0.33554729313685266,0.2868183052152231,0.5098921323321165,600,cm rel 1995-2014
