marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
L,CO2,10.0,glaciers,2100,2000,7.8094474113687475,7.827944463304765,0.016595414453650648,0.01849705193601725,0.017216881284740713,0.010936087327144062,0.025314531999579334,0.0016595414453650648,0.00010057145808984199,0.04366171224732461,0.01630870565356547,0.0009015658684336018
L,CO2,10.0,glaciers,2150,2000,9.589339175793267,9.60918842239918,0.02004999522132689,0.01984924660591325,0.02066380980692242,0.013218412991502948,0.03016230338733514,0.002004999522132689,0.0001174333961809888,0.05936266349583829,0.019228621983070918,0.0014384569364311762
L,CO2,10.0,glaciers,2300,2000,11.054041291148655,11.076932904758173,0.023680706584427114,0.022891613609518302,0.024451391869963226,0.015116889751387941,0.03593971670574464,0.0023680706584427113,0.00014510752377900417,0.08889060642092747,0.021859356204499875,0.0025966847354313553
L,CO2,10.0,gis,2100,2000,6.483303058033875,6.498903081740824,0.015342366757490566,0.01560002370694935,0.016286189186056056,0.01023667838631157,0.024825310499010732,0.0015342366757490566,0.00011108965194931397,0.04366171224732461,0.015374793721511912,0.0009029329635611143
L,CO2,10.0,gis,2150,2000,7.874025408029935,7.897204804788709,0.019379973075489332,0.023179396758774118,0.020819037087473184,0.013316676233134218,0.03233314457090675,0.0019379973075489333,0.0001469764141337382,0.05936266349583829,0.01924463160410593,0.0015797126540671232
L,CO2,10.0,gis,2300,2000,8.225252249924566,8.249025696698528,0.025456951568022745,0.023773446773962092,0.026939632603506476,0.016337941607252306,0.04325246594889052,0.0025456951568022745,0.00018883545788717104,0.08889060642092747,0.023884987368569022,0.003061976070884066
L,CO2,10.0,ais,2100,2000,4.522076863016297,4.52898634635579,0.007793986051818358,0.00690948333949315,0.08914246964496102,0.0033378674971642043,0.024873629262611274,0.0007793986051818358,0.011780870115926849,0.04366171224732461,0.007863707045530874,0.07800944886411322
L,CO2,10.0,ais,2150,2000,6.917794817259239,6.930826907316203,0.01317659818331185,0.013032090056964485,0.13548248729651843,0.005447127041777744,0.761783358143428,0.001317659818331185,0.015894552842735814,0.05936266349583829,0.01319896222405173,0.12407448161567144
L,CO2,10.0,ais,2300,2000,12.47109338442665,12.500252515248858,0.027767359254216473,0.029159130822208112,0.24082936060893825,0.010346512631228677,1.5209014709461102,0.002776735925421647,0.02068194743729615,0.08889060642092747,0.027025825648860385,0.21594065450163616
L,CO2,10.0,te,2100,2000,15.632604237093048,15.670308627409788,0.035381968265349784,0.037704390316740444,0.03614295583625764,0.02409400753011175,0.049597008519545224,0.0035381968265349784,0.000176975284694454,0.04366171224732461,0.03433571476500372,0.0017975591181608177
L,CO2,10.0,te,2150,2000,19.150084178761674,19.198073623172377,0.04805542133533969,0.047989444410703186,0.049146263212257076,0.031161628339166823,0.06889230129491396,0.004805542133533969,0.000263266555695389,0.05936266349583829,0.04583825132210408,0.0033141346859450003
L,CO2,10.0,te,2300,2000,19.728149485928128,19.79687803079991,0.06670784874334323,0.0687285448717816,0.06906612374160434,0.03932593798128919,0.10482698899704204,0.006670784874334324,0.0004585530459088149,0.08889060642092747,0.06195416372136017,0.0071227639179616
L,CO2,10.0,lws,2100,2000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04366171224732461,0.0,0.0
L,CO2,10.0,lws,2150,2000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05936266349583829,0.0,0.0
L,CO2,10.0,lws,2300,2000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08889060642092747,0.0,0.0
L,CO2,10.0,total,2100,2000,37.29673552514777,37.36626314265344,0.07545717066651036,0.06952761750567049,0.1587884959520152,0.05522856353194143,0.1394730300104077,0.007545717066651037,0.011826241427892266,0.04366171224732461,0.07388292118561175,0.08161150681426874
L,CO2,10.0,total,2150,2000,48.158106744310174,48.25215928554448,0.10118185262273727,0.09405254123430495,0.22611159740317147,0.07221507860970888,0.8733536909078988,0.010118185262273727,0.015957298110133782,0.05936266349583829,0.09751046713333292,0.13040678589211482
L,CO2,10.0,total,2300,2000,60.80523512619923,60.94905898698189,0.1459847332779134,0.14382386078266052,0.36128650882401214,0.09783729649891235,1.676661754551113,0.01459847332779134,0.020835006830775445,0.08889060642092747,0.1347243329432893,0.22872207922591306
