year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.8726136701242013,-1.0165501249176314,-0.7622554230824884
1991,glaciers,fixed,-0.8176537172466929,-0.9525385099442605,-0.7143609997448793
1992,glaciers,fixed,-0.7601983288749219,-0.8857419570596815,-0.6643764028642438
1993,glaciers,fixed,-0.7101739274731945,-0.8277869319700997,-0.6209642145154786
1994,glaciers,fixed,-0.6774477412260314,-0.7898449777893592,-0.5925288740103547
1995,glaciers,fixed,-0.6421949264054486,-0.7488627194877572,-0.5619034497115329
1996,glaciers,fixed,-0.5972942784522108,-0.6966705331644933,-0.5228140630414473
1997,glaciers,fixed,-0.544530362557117,-0.6350716913999068,-0.4766708220127625
1998,glaciers,fixed,-0.48602170373262393,-0.5667739110295754,-0.42549800245819075
1999,glaciers,fixed,-0.4243897186090543,-0.494967895177061,-0.37168321427922246
2000,glaciers,fixed,-0.3597988182601438,-0.4196828573307862,-0.31524950194879664
2001,glaciers,fixed,-0.2909131247789625,-0.3393679758754264,-0.25503005087909325
2002,glaciers,fixed,-0.217920892070115,-0.25425457376450056,-0.19121641763037958
2003,glaciers,fixed,-0.14226375199312621,-0.16596163977153722,-0.12499837041807328
2004,glaciers,fixed,-0.06504185966495543,-0.07573240503558352,-0.05702572795841662
2005,glaciers,fixed,0.012669431374098122,0.01074184082161457,0.015319483197870283
2006,glaciers,fixed,0.09137648044524166,0.07965777912632657,0.10657025535271286
2007,glaciers,fixed,0.17007439656324033,0.14849014309740857,0.19825841124388002
2008,glaciers,fixed,0.24943550942055637,0.2179883482704699,0.29062543521157347
2009,glaciers,fixed,0.3294099521873213,0.2883447451053944,0.38420165046268323
2010,glaciers,fixed,0.41156323999921524,0.360329544640515,0.47991354829824046
2011,glaciers,fixed,0.4953546716571399,0.4340167643320843,0.5778502838949395
2012,glaciers,fixed,0.5815854753015784,0.5097025766164586,0.6783980651497332
2013,glaciers,fixed,0.6697204132162321,0.587287068467218,0.7814266902762811
2014,glaciers,fixed,0.76020093591097,0.6668717346539902,0.8871280983369291
2015,glaciers,fixed,0.8537229529950359,0.7490800312238342,0.9960388480626935
2016,glaciers,fixed,0.9492468701426999,0.833343944836688,1.1074939603422351
2017,glaciers,fixed,1.0466818071987027,0.9192593233429482,1.2210312975484716
2018,glaciers,fixed,1.145987429980989,1.0071559074259127,1.337071792863202
2019,glaciers,fixed,1.24846842930269,1.097029015623699,1.4564731351940523
2020,glaciers,fixed,1.3528079446064316,1.188496504998705,1.5779334523486748
2021,glaciers,fixed,1.4572242315264752,1.2800408777787708,1.6999584103825958
2022,glaciers,fixed,1.563878785049993,1.3727949833004722,1.82313820229222
2023,glaciers,fixed,1.672809543852252,1.4678035043805613,1.9484061982199854
2024,glaciers,fixed,1.7836934506372544,1.5653210940047977,2.0762288559785094
2025,glaciers,fixed,1.897362049865496,1.6658209305633191,2.2068129076762832
2026,glaciers,fixed,2.0128777651290806,1.768511339430093,2.342244965224551
2027,glaciers,fixed,2.130566717334865,1.8714429424628485,2.480441443716938
2028,glaciers,fixed,2.2497877261490693,1.9761978239997284,2.620141599144573
2029,glaciers,fixed,2.3705141142269053,2.081522493476138,2.760915668892854
2030,glaciers,fixed,2.492439760711898,2.185797105911489,2.9031185204365353
2031,glaciers,fixed,2.6154815063091066,2.290898429270451,3.0467294258694815
2032,glaciers,fixed,2.7378166515344233,2.3998348520941164,3.188990999323656
2033,glaciers,fixed,2.8628184629967777,2.5100539569674716,3.3336603359344035
2034,glaciers,fixed,2.9870651715532093,2.62038665666045,3.4811940830921206
2035,glaciers,fixed,3.1138511840421716,2.732427728515624,3.6241521089953848
2036,glaciers,fixed,3.2407916095676166,2.8446469840610833,3.770708470800171
2037,glaciers,fixed,3.370084115280628,2.9576481952827223,3.921111665986288
2038,glaciers,fixed,3.5014095348921823,3.0742482191188447,4.073051214051312
2039,glaciers,fixed,3.634045952969937,3.1921543771098615,4.226492167147371
2040,glaciers,fixed,3.7684467457098174,3.311328794595886,4.381378645309403
2041,glaciers,fixed,3.903195272174953,3.4312172006186,4.536912807488343
2042,glaciers,fixed,4.039932315815218,3.551668484735268,4.69299612186999
2043,glaciers,fixed,4.17689289035094,3.6729431905646415,4.851480434292464
2044,glaciers,fixed,4.3146565106843,3.795322458540521,5.012177430942115
2045,glaciers,fixed,4.453731227224378,3.915311653963184,5.174216355495985
2046,glaciers,fixed,4.5954075300458594,4.037182722565632,5.336492781724022
2047,glaciers,fixed,4.737752205984011,4.162648659488011,5.499195405350824
2048,glaciers,fixed,4.8812035476548985,4.289613527235931,5.662595887578716
2049,glaciers,fixed,5.025127266028946,4.41480110792556,5.827070758238108
2050,glaciers,fixed,5.170160840717954,4.538880380625263,5.998836651121167
2051,glaciers,fixed,5.316991594976793,4.663863137371691,6.173535664019542
2052,glaciers,fixed,5.464140774240629,4.78951510293505,6.3495469820803665
2053,glaciers,fixed,5.6124634377057525,4.91742607181212,6.526898112069149
2054,glaciers,fixed,5.762160989813223,5.049300681242281,6.705333880102894
2055,glaciers,fixed,5.91170355582458,5.182056156229002,6.8842719230525535
2056,glaciers,fixed,6.062756913586441,5.315465622267022,7.054556447848898
2057,glaciers,fixed,6.214430627304234,5.449182799477223,7.225101771882795
2058,glaciers,fixed,6.370037385034826,5.585814609500044,7.3974808873248215
2059,glaciers,fixed,6.524473746842013,5.722470874352087,7.5774868807129785
2060,glaciers,fixed,6.677127260826695,5.857672028886874,7.751861971475823
2061,glaciers,fixed,6.833869565261747,5.995573101568885,7.934164220692512
2062,glaciers,fixed,6.9886439229459185,6.133965434943312,8.11415744650911
2063,glaciers,fixed,7.1441155487992845,6.2745235651033315,8.2943494789821
2064,glaciers,fixed,7.298495347147349,6.415650685251089,8.47351119507785
2065,glaciers,fixed,7.457107703949907,6.557047206240175,8.65551641827502
2066,glaciers,fixed,7.614829996199529,6.697162985453636,8.837978487712554
2067,glaciers,fixed,7.771628843481228,6.834484549075146,9.015499916801597
2068,glaciers,fixed,7.928643445305618,6.975779635005531,9.190003207978094
