ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp585,glaciers,2100,fixed,2000,13.154594720956313,13.18392789138217,11.422678800825565,15.051269883513765,3.6285910826881995,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2100,joint,2000,14.492396699562372,14.747070789318888,11.396500826409012,18.919848206379033,7.523347379970021,2.073352220883604,1.1016984564697256,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2150,fixed,2000,20.555137952615063,20.626158733862795,17.461331171408556,24.064123190515776,6.60279201910722,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2150,joint,2000,21.76087964536351,21.9259522939487,17.2332776761508,27.484391852245103,10.251114176094305,1.5525423406385568,1.0586588956750373,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2300,fixed,2000,26.746106883994784,26.85111307277496,22.15503935582237,31.806937623563137,9.651898267740766,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2300,joint,2000,27.18805374477673,27.35119412523471,22.349770681060512,32.83334656717186,10.483575886111346,1.0861672590510274,1.016523782795709,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2100,fixed,2000,10.05912763536222,10.125900034760882,7.686678229786824,12.621660594241458,4.934982364454634,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2100,joint,2000,11.502036941338822,12.118522639054584,7.877638341326342,18.60581504113756,10.728176699811218,2.17390375639099,1.1434427873152884,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2150,fixed,2000,22.583455551633204,22.734586673227057,15.833671300767689,29.88773110691567,14.054059806147981,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2150,joint,2000,27.08050805898489,28.932128104586738,15.171580723285247,49.56282015305334,34.39123942976809,2.447067957881008,1.1991303986703872,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2300,fixed,2000,86.54397625356442,86.92726577064637,67.03877533017325,107.65654185083682,40.617766520663565,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
