ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvHL,glaciers,2100,fixed,1000,14.259613608684635,14.343079604963538,12.33373718828735,16.666614266689947,4.332877078402598,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,glaciers,2100,joint,1000,13.584316414395307,13.708672633422651,11.008990223635493,16.906960028651206,5.8979698050157126,1.3612132766042182,0.9526426723177094,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,glaciers,2150,fixed,1000,20.915564337895773,20.932388137021704,17.297493965761433,24.610542072911368,7.313048107149935,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,glaciers,2150,joint,1000,19.44986770707031,19.75772250518695,15.539357380340105,25.313639167776852,9.774281787436747,1.3365537384993371,0.929923161185288,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,glaciers,2300,fixed,1000,29.278114520001353,29.218046084341108,22.112032784868017,35.97892383777488,13.866891052906862,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,glaciers,2300,joint,1000,26.238345691815503,26.62647967771893,20.011563597556098,34.809591462353616,14.798027864797518,1.0671482027469643,0.8961760728782849,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,gis,2100,fixed,1000,7.333875353856815,7.69125239700117,4.994458168941217,11.702494769380008,6.708036600438791,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,gis,2100,joint,1000,7.056265030294625,7.432557046689153,4.971791836140283,11.132810692362572,6.161018856222289,0.9184533751380068,0.9621468445852168,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,gis,2150,fixed,1000,11.39610943022452,12.007002361553333,7.605071929158697,18.54087890499544,10.935806975836744,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,gis,2150,joint,1000,10.77054420016589,11.429438343743675,7.492088108660578,17.473600965404046,9.981512856743468,0.9127367444211625,0.945107123278448,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,gis,2300,fixed,1000,20.126447173535094,21.000338674722006,14.173217729472443,30.342752539261213,16.16953480978877,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,gis,2300,joint,1000,18.30918846073265,19.23452986072688,13.667993378221972,27.65329065930932,13.985297281087348,0.8649164892870559,0.9097079232547304,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,ais,2100,fixed,1000,39.73064543753482,40.93269751234742,6.565742381606494,75.48343311813392,68.91769073652742,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvHL,ais,2100,joint,1000,33.370685301856795,33.00640774598005,2.1308646503339768,72.27484442566409,70.14397977533011,1.0177935305971118,0.8399230602564145,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvHL | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
