ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvH,glaciers,2100,fixed,2000,11.267729910377426,11.290497555756046,9.828451629055218,12.895033517569622,3.0665818885144045,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2100,joint,2000,11.084603371288917,11.26049904029482,8.727409792570706,14.62508839868325,5.897678606112544,1.9232092344253866,0.9837476989113972,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2150,fixed,2000,17.386787764905044,17.431582485778023,14.866557050653508,20.173576645567955,5.307019594914447,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2150,joint,2000,17.069523818142088,17.24295433363615,13.127182529365463,22.07433130492857,8.947148775563107,1.6859083739085652,0.9817525841430382,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2300,fixed,2000,25.537026770065197,25.631549923382437,21.224811084931957,30.3536174880339,9.128806403101944,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2300,joint,2000,24.955134317101106,25.0516697587207,19.62189588432676,30.775599026012543,11.153703141685781,1.2218139644078532,0.9772137744067296,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2100,fixed,2000,8.46961278136435,8.495907347208966,6.639019757833043,10.345812283358468,3.706792525525425,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2100,joint,2000,8.322259489392572,8.57258749609529,6.315830372187851,11.711505021791263,5.395674649603412,1.4556181961758416,0.9826021217527205,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2150,fixed,2000,15.91029952502195,15.993941164604673,11.383772958340439,20.67933169434184,9.295558736001402,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2150,joint,2000,15.318232978582627,16.419899663570064,10.38596486972949,25.679619315478156,15.293654445748667,1.6452646774762265,0.9627872155701288,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2300,fixed,2000,60.71102962535822,60.93176281818297,45.222720607687144,77.33753421308035,32.1148136053932,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
