arm,draw,ll_dyn_ind,ll_dyn_ar1,cum_1979_2023,dis_base,dis_trend_anom,ll_lev_fromL27,ll_lev_fromL28,ll_lev_fromL32,ll_lev_fromL33,win_1979_1991,win_1992_2002,win_2003_2010,win_2011_2017,win_2018_2023,ll_dyn_win,provenance
L27,1,-256.00455251530076,-293.8035852191348,0.9972218844864544,-1920.4269192784552,-177.60998740026662,287.9425849649558,297.9692266489321,273.45285073831803,293.6026625137216,14.803759362279848,-7.951892909249514,-4.751594315648731,-28.107559708072785,-10.386358322027718,-0.8915224762001664,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,2,-255.25721644097655,-293.60897409705154,1.0337853333999836,-1964.9804123955046,-131.29655666544923,289.2268493280305,299.8176535261242,273.61596936994977,294.3873351278204,5.757436528832642,-8.198520621946253,16.10281427348565,4.5711609526243535,35.92707241278967,-0.5219463932574819,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,3,-255.50088543784946,-293.6697386486509,0.9361599975652002,-2080.62354243432,-165.84517578464548,285.86192349420617,296.27782565435786,273.0563931671412,292.82005564275244,12.495862900405001,-8.01467591253686,0.5718310535145008,-19.777244761672108,1.3784532935934237,-0.534212688418954,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,4,-255.1364178574537,-293.5745576730852,1.0174745699312204,-1970.9042297623444,-141.91933706983255,289.0558547520873,299.3868928325835,273.8431833357434,294.37622629095904,7.776293658614993,-8.12982219915772,11.422460486682184,-2.842012665233028,25.30429200840635,-0.36155851369494857,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,5,-256.6298598759015,-293.9415226089667,0.9412032745265142,-1722.1583838222157,-189.4982574557921,277.8521193028032,286.73640186712214,267.752791294318,285.78062003182754,16.61704246785358,-7.832120429393255,-9.097902096965583,-35.71802177756986,-22.2746283775532,-1.359944659615,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,6,-258.23989944308806,-294.41499335980626,0.9422535414527755,-2028.098293178552,-79.902636517197,285.1369204995952,295.2298432756576,272.520360884274,292.05887362160644,-3.99979958458891,-8.553063000011766,38.78762917596933,40.4895737625414,87.3209925610419,-3.312395820601494,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,7,-258.9729334043762,-294.61256137122945,0.7802601205198045,-1914.7297622085696,-73.58571933705768,279.354126060129,292.54142609118054,271.39200539372956,290.4594176055315,-5.45325954663325,-8.630053139991189,42.18836026212054,45.388947430708335,93.63790974118122,-3.947903134776258,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,8,-268.8804974402679,-297.282984646817,0.7483397095887967,-2044.2253436537464,-10.484431376377794,277.766140974809,289.1050462115212,270.49778904195404,288.7458339118084,-17.728964270658956,-9.01141019666534,70.57291546569647,89.88179757054675,156.73919770186112,-12.601237702485667,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,9,-257.95854835321796,-294.33939815748914,0.9865342313629455,-1650.5774679835888,-83.8682470865294,286.63992854541567,296.45381273820936,273.1430860904546,292.87084990394436,-3.650921075633704,-8.468020353597344,37.80290529151273,38.28758768632441,83.3553819917095,-3.0429350190119457,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
L27,10,-255.69759861575028,-293.72802814685207,1.0216514141713984,-1907.4284925455665,-117.03707582571906,289.0629243218902,299.2967265803998,273.8340399946691,294.3265451918395,2.9577097699965087,-8.290123528493663,22.58515576253663,14.676438584743494,50.18655325251984,-0.9683392616142292,"diag_ais_channel_separation.jl | arms L27,L28,L32,L33 | 100 draw(s)/arm, DETERMINISTIC even thinning (_ladrillo_thin, no RNG) | paleo fast-dynamics rows assigned by FIXED seed 20260920 | LEVEL = hetero_logl_ar1(model-obs, sd, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv (AIS_SOURCE imbie2026 for EVERY arm incl. L27, whose own target is superseded) | DYNAMICS = model (ice_flux + disintegration_rate) anomaly vs IMBIE 2026 dynamics anomaly 1979-2023, common ref 1979-2008 | IND = published per-year sigma_dyn; AR1 = rho 0.8; WIN = 5 window means, sigma/sqrt(n) | noise model NOT adopted | forcing ssp245harm | no refit, every draw at its own posterior parameters | 2026-09-23T15:42:35.595"
