gate,key,value,verdict
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,0.0,PASS
CONTROL,glaciers_med_2100,0.0,PASS
CONTROL,glaciers_med_2150,0.0,PASS
CONTROL,glaciers_med_2300,0.0,PASS
CONTROL,gis_med_2100,0.0,PASS
CONTROL,gis_med_2150,0.0,PASS
CONTROL,gis_med_2300,0.0,PASS
CONTROL,ais_med_2100,0.006426172987787915,PASS
CONTROL,ais_med_2150,0.007730010351268746,PASS
CONTROL,ais_med_2300,0.010924330083867062,PASS
CONTROL,te_med_2100,0.0,PASS
CONTROL,te_med_2150,0.0,PASS
CONTROL,te_med_2300,0.0,PASS
CONTROL,lws_med_2100,0.0,PASS
CONTROL,lws_med_2150,0.0,PASS
CONTROL,lws_med_2300,0.0,PASS
CONTROL,total_med_2100,-0.004184630516647303,PASS
CONTROL,total_med_2150,-0.012306497284654938,PASS
CONTROL,total_med_2300,-0.05149830340758399,PASS
OHC-OFFSET,max_cm,2.842170943040401e-14,CANCELS
CALIB-MOVE,glaciers_max_cm,0.0,measured
CALIB-MOVE,gis_max_cm,0.0,measured
CALIB-MOVE,ais_max_cm,5.430234990086712,measured
CALIB-MOVE,te_max_cm,5.49231056542366,measured
CALIB-MOVE,lws_max_cm,0.0,measured
CALIB-MOVE,total_max_cm,5.89227227141113,measured
SUM,fixed_max_cm,1.1368683772161603e-13,PASS
SUM,joint_max_cm,1.1368683772161603e-13,PASS
