year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi
1900,-0.6340783032503996,-1.2765581028245547,0.00840149632375553,-7.27700420292941,-8.897892572954321,-5.656115832904499,-4.130332357233222,-5.198758759768212,-3.061905954698232,-3.6098928928375242,-4.617989075035721,-2.601796710639327,1.5646033324978563,0.6780889112843898,2.4511177537113227,-13.937918849348069,1.9024270455379402,-17.06741133925798,-10.808426359438158
1901,-0.6286254796114836,-1.2642028734676574,0.006951914244690105,-7.192015799609098,-8.796465727778758,-5.587565871439438,-4.14182832891291,-5.204812977098527,-3.0788436807272923,-3.6964476108551025,-4.627946622177045,-2.764948599533161,1.8565911330960014,0.9639950118136824,2.7491872543783202,-13.717743189686836,1.961973941540781,-16.94519032352142,-10.490296055852252
1902,-0.6231535824862393,-1.2520119433922599,0.005704778419781342,-7.1059981909665195,-8.695276643592859,-5.51671973834018,-4.110059530084785,-5.166477750325059,-3.05364130984451,-3.7697138309478753,-4.6715828981207075,-2.867844763775043,1.9890015640042045,1.0967969908479844,2.8812061371604245,-13.307361420412224,1.8995097662167701,-16.43205498583881,-10.182667854985638
1903,-0.6177760037508879,-1.2397327195739938,0.00418071207221804,-7.048844107714567,-8.629719932767447,-5.467968282661687,-4.069244558160955,-5.122958611144082,-3.0155305051778285,-3.89201683998108,-4.8295580349848874,-2.954475644977273,1.9943495788357475,1.1057252718497677,2.8829738858217273,-13.366047505500095,1.8820435755745606,-16.46200918732025,-10.270085823679942
1904,-0.612356558713046,-1.2277128476027874,0.0029997301766954143,-6.964708670702848,-8.52864106187006,-5.400776279535636,-3.986545354669745,-4.940094196839894,-3.0329965124995963,-4.005975580215455,-4.9978160580782225,-3.0141351023526872,1.9546252288601615,1.0689822401458753,2.840268217574448,-13.401862591297018,1.9034337347860721,-16.533011085020107,-10.27071409757393
1905,-0.6069045933810149,-1.2153036815474993,0.0014944947854697022,-6.865145072070035,-8.41459441327471,-5.315695730865362,-3.965610296075995,-4.815676882887883,-3.1155437092641076,-4.084479761123657,-4.9604819509283,-3.2084775713190146,2.011866287209771,1.1276871534274733,2.8960454209920687,-13.311246733632538,1.8540803572735203,-16.36120892134748,-10.261284545917597
1906,-0.6014521512118254,-1.2030635415128075,0.00015923908915671525,-6.785165366259489,-8.319109052954001,-5.251221679564975,-3.9195184534246272,-4.7636274221556585,-3.075409484693596,-4.1820330142974855,-5.18759200232393,-3.1764740262710416,1.8110274352810602,0.9245731162976445,2.697481754264476,-13.567440039263273,1.831497893243474,-16.58025407364879,-10.554626004877758
1907,-0.5960208806124601,-1.1908715140160782,-0.001170247208842068,-6.7199607458981605,-8.241552220034675,-5.1983692717616465,-3.8829637354070488,-4.7215191974040485,-3.044408273410049,-4.245766305923461,-5.130613438174535,-3.3609191736723876,1.7740370788357473,0.8845885254485821,2.663485632222913,-13.430518857797505,1.8465385631172686,-16.468074794125414,-10.392962921469598
1908,-0.5906124981966887,-1.1787413409649685,-0.002483655428408893,-6.640979727831754,-8.14264995092229,-5.139309504741217,-3.8119527643377134,-4.644169855909681,-2.979735672765746,-4.304152536392211,-5.277987629437151,-3.330317443347271,1.8447394408962943,0.9635724745985319,2.7259064071940564,-13.478100215899776,1.8788800218277923,-16.568857851806495,-10.387342579993057
1909,-0.5851665410128508,-1.1664375294900422,-0.003895552535659319,-6.5662955847653475,-8.052508562457398,-5.080082607073297,-3.7546384638006036,-4.457376262908235,-3.051900664692973,-4.4123697757720945,-5.373893805125273,-3.450845746418916,1.9302844085476614,1.04706767352084,2.8135011435744826,-13.127202387002756,1.878633359732533,-16.21755426376277,-10.036850510242738
1910,-0.5797470959750088,-1.1542672046021463,-0.005226987347871304,-6.496743735400114,-7.969321845396825,-5.024165625403402,-3.709659749811346,-4.259999502678344,-3.159319996944348,-4.497396707534791,-5.420357050641368,-3.574436364428214,1.9672564544460993,1.0803389309721023,2.8541739779200963,-12.932223767549981,1.840595396597276,-15.9600031949525,-9.904444340147462
1911,-0.5743019017306241,-1.1420005271057396,-0.006603276355508614,-6.407831534472379,-7.864047399707007,-4.951615669237751,-3.7024556940252134,-4.246717691640755,-3.1581936964096715,-4.502541589736938,-5.4610824744306985,-3.5440007050431785,2.0035834350369193,1.1214658723554498,2.8857009977183887,-12.7859735900405,1.7857493780132891,-15.72353131687236,-9.84841586320864
1912,-0.5688701542941008,-1.129867131925065,-0.007873176663136694,-6.332779654589567,-7.770878099186563,-4.894681209992571,-3.6499250238591983,-4.188741347864122,-3.1111086998542747,-4.496937417984009,-5.4136519266071845,-3.5802229093608338,1.9851510085842823,1.1037758615687219,2.8665261555998427,-12.504873544685173,1.7665998626381558,-15.41093031872494,-9.598816770645406
1913,-0.563472453030673,-1.1177422196659912,-0.009202686395354709,-6.264344748583707,-7.690655378809012,-4.838034118358403,-3.6160070245916187,-4.151592824975839,-3.0804212242073987,-4.43869423866272,-5.341237469203726,-3.5361510081217133,1.8794368781826714,1.0003944823163486,2.758479274048994,-12.481187939747363,1.7376276403607913,-15.339585408140865,-9.622790471353861
1914,-0.5580358418551359,-1.1054965393844047,-0.010575144325866925,-6.151126059618863,-7.556144473169542,-4.746107646068184,-3.6001985376531427,-4.128614116074631,-3.071782959231655,-4.3344473361969,-5.3360608688259745,-3.3328338035678247,2.022380165078423,1.1422370600649234,2.9025232700919226,-12.215842947480144,1.7227644780854685,-15.04979051393074,-9.38189538102955
