gate,key,value,verdict
PAIRING,configs_used,600.0,PASS
PAIRING,median_dgmst_bias_degC,0.006658340436689336,PASS
CONTROL,glaciers_med_2100,0.0,PASS
CONTROL,glaciers_med_2150,0.0,PASS
CONTROL,glaciers_med_2300,0.0,PASS
CONTROL,gis_med_2100,0.0,PASS
CONTROL,gis_med_2150,0.0,PASS
CONTROL,gis_med_2300,0.0,PASS
CONTROL,ais_med_2100,0.0,PASS
CONTROL,ais_med_2150,0.0,PASS
CONTROL,ais_med_2300,0.0,PASS
CONTROL,te_med_2100,0.0,PASS
CONTROL,te_med_2150,0.0,PASS
CONTROL,te_med_2300,0.0,PASS
CONTROL,lws_med_2100,0.0,PASS
CONTROL,lws_med_2150,0.0,PASS
CONTROL,lws_med_2300,0.0,PASS
CONTROL,total_med_2100,0.0,PASS
CONTROL,total_med_2150,0.0,PASS
CONTROL,total_med_2300,0.0,PASS
OHC-OFFSET,max_cm,1.1368683772161603e-13,CANCELS
CALIB-MOVE,glaciers_max_cm,0.0,measured
CALIB-MOVE,gis_max_cm,0.0,measured
CALIB-MOVE,ais_max_cm,8.433928704225307,measured
CALIB-MOVE,te_max_cm,5.256964695298688,measured
CALIB-MOVE,lws_max_cm,0.0,measured
CALIB-MOVE,total_max_cm,8.109203414926444,measured
SUM,fixed_max_cm,2.2737367544323206e-13,PASS
SUM,joint_max_cm,3.410605131648481e-13,PASS
