ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvHL,glaciers,2100,fixed,2000,11.268552754212807,11.293327555321362,9.826103887423015,12.893396232270828,3.0672923448478127,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2100,joint,2000,11.036992968136676,11.253434162562982,8.50223270797193,14.875604191236976,6.373371483265046,2.0778493755153518,0.9794507962888525,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,fixed,2000,13.866624997009758,13.915264242844348,11.893036134041145,16.076181128439316,4.183144994398171,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,joint,2000,13.491029515948433,13.805936920026797,10.142663440088148,18.649415448718493,8.506752008630345,2.033578090174283,0.9729137060285167,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,fixed,2000,14.889166961978065,14.964361224859488,12.614110814068535,17.49428822124565,4.880177407177115,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,joint,2000,14.493957894252823,14.83187886757695,10.727873288826073,20.05289882518569,9.325025536359616,1.910796423639356,0.9734566031306874,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,fixed,2000,8.454984004255651,8.479505498459497,6.62566599724148,10.341099615375864,3.7154336181343837,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,joint,2000,8.31549306969762,8.605514242814863,6.220436397870674,12.097095608964922,5.876659211094249,1.5816886573915088,0.98350192803584,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,fixed,2000,11.659060659029372,11.691418196622347,8.679234242548722,14.667053716316612,5.987819473767891,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,joint,2000,11.277354861743008,11.919557796157259,7.944632403186809,17.641905819903577,9.697273416716769,1.6194999630833342,0.9672610162645693,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2300,fixed,2000,13.062838997279652,13.231618105901056,9.278771176111052,17.748658161951226,8.469886985840175,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
