ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvM,glaciers,2100,fixed,1000,13.444409210174154,13.527745588184423,11.67845767732832,15.703372275700117,4.024914598371797,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,glaciers,2100,joint,1000,12.896061401291313,13.043187992318158,10.52922523484906,16.023369478804906,5.494144243955846,1.3650337441143217,0.9592136924493584,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,glaciers,2150,fixed,1000,21.684748047520557,21.69398202794347,17.840107238557664,25.548807179423264,7.7086999408656,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,glaciers,2150,joint,1000,20.70006969023582,20.961086780632993,16.583410975512717,26.588077148912618,10.004666173399901,1.2978409135323654,0.9545912013767979,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,glaciers,2300,fixed,1000,34.14953028813108,33.89236673147977,23.65767788584301,43.72572599467733,20.068048108834322,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,glaciers,2300,joint,1000,32.98567046108553,33.12389189617778,23.190269178593482,43.073724823051734,19.88345564445825,0.9908016732182933,0.9659187163856817,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,gis,2100,fixed,1000,7.0492333723356815,7.353512656861479,4.947813224494479,10.903502284130637,5.955689059636158,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,gis,2100,joint,1000,6.845126982957915,7.163247859405188,4.920755221039392,10.604587332024845,5.6838321109854535,0.9543534012725452,0.9710455905490701,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,gis,2150,fixed,1000,11.786897077006781,12.490026758923573,7.736080690206879,19.64049124434461,11.90441055413773,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,gis,2150,joint,1000,11.345691588159603,12.113776342577127,7.656113301144324,18.84889474212842,11.192781440984096,0.9402213902219386,0.9625681393529891,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,gis,2300,fixed,1000,26.828964954785754,28.835733444148374,15.830426872494776,48.27542875744508,32.4450018849503,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,gis,2300,joint,1000,25.097540161975566,27.572676255702234,15.545041838857284,46.99430555489857,31.449263716041283,0.9693099672966611,0.935464346249357,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2100,fixed,1000,28.830935821888907,30.810784826742744,4.0622319839039776,64.44686430069373,60.384632316789755,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2100,joint,1000,21.971815668634072,25.471703007580583,2.13369617950314,63.484978688171815,61.351282508668675,1.0160082152493317,0.7620916575296428,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2150,fixed,1000,76.17054048195106,80.49182275177166,36.88038448893526,141.66588139489397,104.78549690595871,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2150,joint,1000,66.8070847869156,69.10318815597468,7.196601313289842,135.55585055767762,128.35924924438777,1.2249715183350771,0.8770724792578546,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2300,fixed,1000,218.18055967502394,230.317052972411,120.10905223993817,377.39227944060724,257.2832272006691,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,ais,2300,joint,1000,206.13130453939314,212.38484840010813,65.43136139833535,380.29059927484826,314.8592378765129,1.2237845478785803,0.9447739287424235,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2100,fixed,1000,20.145524783951114,20.147640637546875,14.720252715491974,25.94581118773303,11.225558472241058,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2100,joint,1000,14.3895076479965,14.926805659983152,8.11693165980988,23.467435743627885,15.350504083818004,1.3674601688439156,0.7142781239166263,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2150,fixed,1000,32.580464705899544,32.58388658217922,23.806412550795148,41.9610109308891,18.154598380093955,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2150,joint,1000,23.242323681658178,24.350784062615666,12.620606634861042,39.66787362011888,27.047266985257842,1.489830092573927,0.7133822028465281,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
vvM,te,2300,fixed,1000,58.81906606061191,58.82524373698208,42.978851441546304,75.75421333591683,32.775361894370526,1.0,1.0,"scope_slr_fairunc_oldbrick.jl | BRICK 2.0 stock MimiBRICK v2.0.0 get_model(ssp245), Random.seed!(2026) before get_model | posterior parameters_subsample_brick.csv | ssp vvM | climate magicc | lws central (mean 0.0003 m/yr) | run 1850-2300 reref 1995-2014 | julia 1.12.6"
