year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
1990,SSP1-1.9,0.6172413401272017,-1.5114494993558032,-1.7563431882295029,-1.2397382339511107
1991,SSP1-1.9,0.6480920599899472,-1.4091015840037273,-1.6371214482389842,-1.1559327586572328
1992,SSP1-1.9,0.6054709248449786,-1.3033874447530596,-1.5138078350060624,-1.070428096641456
1993,SSP1-1.9,0.49579326119498635,-1.2062117253851894,-1.4012605291843052,-0.9888856872667008
1994,SSP1-1.9,0.5159107825733913,-1.1265443320570279,-1.314490629965602,-0.9168478092205082
1995,SSP1-1.9,0.5766612473873399,-1.0420966168835046,-1.227771198318233,-0.8484089934488281
1996,SSP1-1.9,0.6411345082576302,-0.9519203631657924,-1.1241028809718765,-0.7748383150808841
1997,SSP1-1.9,0.6860734222790282,-0.8537320003699334,-1.0117709012722842,-0.6947089859643791
1998,SSP1-1.9,0.7181171626962323,-0.7508296932199038,-0.8928660201238141,-0.6106706243207823
1999,SSP1-1.9,0.7443055351790053,-0.6444771714417957,-0.7690594761766244,-0.5243482410077712
2000,SSP1-1.9,0.78080095281422,-0.5365643763912533,-0.6417454621540954,-0.4358722225926246
2001,SSP1-1.9,0.8277653991917374,-0.4250504633438068,-0.5097249563329092,-0.3445445976236305
2002,SSP1-1.9,0.8625038868905944,-0.3091318139211069,-0.3712998204416845,-0.250308464647885
2003,SSP1-1.9,0.8825685123647669,-0.19050251420782843,-0.22873658680240064,-0.15422823953537812
2004,SSP1-1.9,0.8931410769792334,-0.07106397558524907,-0.08488201457973438,-0.057288703459991444
2005,SSP1-1.9,0.8998718941653809,0.048217905927441795,0.03909566069468906,0.057686462051290126
2006,SSP1-1.9,0.9059038132337379,0.16663592773573932,0.1349050650067042,0.1986927320916984
2007,SSP1-1.9,0.9146854493265001,0.28410603291941783,0.23099961828504367,0.33827733808345933
2008,SSP1-1.9,0.9219150757625193,0.4009746224084981,0.3261728884845441,0.477256503356166
2009,SSP1-1.9,0.944300568261457,0.5170407860783877,0.4206468449146252,0.6145815698878286
2010,SSP1-1.9,0.9618227486686342,0.6339321659050836,0.5160043367536168,0.7529431562155283
2011,SSP1-1.9,0.9819605692158233,0.7515671181452271,0.6117362934676948,0.8917717539953773
2012,SSP1-1.9,1.0103928501951052,0.8702587601931642,0.7080688891333522,1.0315324441248843
2013,SSP1-1.9,1.0340522463545012,0.9906064169985838,0.8057449526059433,1.1737382546267223
2014,SSP1-1.9,1.0652103142894338,1.111885865757463,0.9042695640926496,1.317362185092585
2015,SSP1-1.9,1.0914259349003625,1.2348118302413904,1.0042814268056564,1.4637133358009216
2016,SSP1-1.9,1.1177753966933794,1.3590181212911723,1.1052748152868255,1.6117087823114016
2017,SSP1-1.9,1.1393133518017833,1.4845093175723454,1.207220046449981,1.7612900840847456
2018,SSP1-1.9,1.175415859607348,1.6105090259491084,1.309672924558309,1.91151147554065
2019,SSP1-1.9,1.200456983653643,1.7387468720441377,1.4138434437768432,2.0648516059878026
2020,SSP1-1.9,1.2211523162961826,1.8677970538869244,1.5187098949379911,2.219229322512082
2021,SSP1-1.9,1.2498576819195004,1.9973773822655583,1.623869371714725,2.3738294317924433
2022,SSP1-1.9,1.2873623633433495,2.1282169814273235,1.7299648244421058,2.5299525124331557
2023,SSP1-1.9,1.3201324133687566,2.2608298562254285,1.837664512362434,2.6889388708066466
2024,SSP1-1.9,1.3568578210775863,2.3950671529819223,1.9465076765457785,2.8498409919075103
2025,SSP1-1.9,1.3903369961477834,2.53108722636696,2.056743786867525,3.01315182042286
2026,SSP1-1.9,1.4180804304179286,2.6682283848606185,2.1680477336298027,3.178201720355465
2027,SSP1-1.9,1.4389727599378017,2.805670427928929,2.279924201999478,3.3439838932710746
2028,SSP1-1.9,1.4587731197377305,2.9431602012363807,2.391814270805427,3.5093854612043383
2029,SSP1-1.9,1.4800601095579542,3.0806079855222657,2.503211701642227,3.6742190772134897
2030,SSP1-1.9,1.5014399982247582,3.218049123893503,2.614681991608106,3.8386898857476925
2031,SSP1-1.9,1.5173170464299282,3.3555501382185438,2.7262160406791294,4.002786882176659
2032,SSP1-1.9,1.5307065376969737,3.492595391382272,2.8374455023191985,4.1656864018638515
2033,SSP1-1.9,1.5465734325922176,3.628970615047859,2.94820884322381,4.327603322746965
2034,SSP1-1.9,1.5671110509396888,3.764887699771058,3.058665063854305,4.4886987971727486
2035,SSP1-1.9,1.5841388384189266,3.900733082487508,3.1691045985811774,4.649417983178395
2036,SSP1-1.9,1.6006328248644293,4.036201228547487,3.279297441484794,4.809284669234345
2037,SSP1-1.9,1.6169957510283692,4.171595171785759,3.3892061593172063,4.967570005458214
2038,SSP1-1.9,1.6298434075564416,4.306794847482173,3.4988193585401053,5.124816217057697
2039,SSP1-1.9,1.6385820736479748,4.4404757360238705,3.6079209840229733,5.2806038174383945
2040,SSP1-1.9,1.6428156592059031,4.572942875369323,3.7156383736605703,5.434419139572811
2041,SSP1-1.9,1.6432484624401003,4.704117552414504,3.8221336483219845,5.585715764629123
2042,SSP1-1.9,1.6408285637472129,4.836253096704533,3.927186387719852,5.734055519912175
2043,SSP1-1.9,1.6454267760969612,4.963283440059842,4.030625504489743,5.879134462680704
2044,SSP1-1.9,1.6490769725458105,5.088076603728868,4.132949700525188,6.021945186074002
2045,SSP1-1.9,1.6483033185575233,5.211966498301294,4.234111297183209,6.162415959334826
2046,SSP1-1.9,1.6582401774904048,5.337217390401315,4.333890766412104,6.300024939484115
2047,SSP1-1.9,1.668138144533248,5.459756964396148,4.433105789815553,6.437525477797682
2048,SSP1-1.9,1.6815950920828615,5.57945032948325,4.531636335979607,6.57652566611737
2049,SSP1-1.9,1.6841486341380432,5.701469229154413,4.629722501225115,6.716496037787906
2050,SSP1-1.9,1.687878664405678,5.820421692155225,4.7266545800724495,6.854601579503651
2051,SSP1-1.9,1.6855450161250476,5.939478433172784,4.8225263239674705,6.986311953852387
2052,SSP1-1.9,1.6838628736098618,6.054821122395669,4.916957816178694,7.116224922425985
2053,SSP1-1.9,1.6793462197763973,6.169183602445623,5.0100128367776176,7.247142539578854
2054,SSP1-1.9,1.6760200366809774,6.283609082419678,5.101526192423268,7.3707296173344465
2055,SSP1-1.9,1.6707866670492748,6.3966334590198946,5.19138328580647,7.4913963973478594
2056,SSP1-1.9,1.6690824033204659,6.50790973970069,5.279356334260736,7.609228892705759
2057,SSP1-1.9,1.6687226909217303,6.617737072674007,5.3660066539054565,7.726712479740787
2058,SSP1-1.9,1.6705243784085038,6.725767891403041,5.451444760485912,7.842028471540779
2059,SSP1-1.9,1.674804188969188,6.830902589565172,5.536504774089153,7.955042674634625
2060,SSP1-1.9,1.6739914244738112,6.93565819623301,5.624018634728798,8.067776803678369
2061,SSP1-1.9,1.6744447161880427,7.040155524388,5.715995272344848,8.178532189497965
2062,SSP1-1.9,1.6646527612372732,7.140733589305508,5.807291922678184,8.287975867493454
2063,SSP1-1.9,1.6586681884114427,7.236577291384728,5.897445720722807,8.397182999600188
2064,SSP1-1.9,1.6541563380492308,7.334157167205133,5.9866435083270035,8.502175783132836
2065,SSP1-1.9,1.6492581663799113,7.433475163964454,6.074286872752532,8.603865480960808
2066,SSP1-1.9,1.6487228560380085,7.536532745794773,6.15341283745976,8.699458706108063
2067,SSP1-1.9,1.650073822770685,7.6321422102881105,6.231778254069081,8.793523315031434
2068,SSP1-1.9,1.6519497853415772,7.723734973366636,6.3083324121210715,8.887023592904649
2069,SSP1-1.9,1.6538354354167089,7.809474603857817,6.38081950800555,8.981223831181735
2070,SSP1-1.9,1.6534850564514836,7.898075012191642,6.452461170903178,9.069046375926067
2071,SSP1-1.9,1.6519956006516499,7.990285963634837,6.523299733891471,9.16352165682826
2072,SSP1-1.9,1.6424366806492299,8.081399582841494,6.593211791628299,9.251680447618758
2073,SSP1-1.9,1.638400336371363,8.169743268209926,6.661524601690625,9.342465903123648
2074,SSP1-1.9,1.6367324169303543,8.253719574215022,6.741297392717611,9.429082027324993
2075,SSP1-1.9,1.6270900225359695,8.343115985510998,6.82107075326215,9.514204034347431
2076,SSP1-1.9,1.6225802492356287,8.43080407440874,6.897057206249606,9.598209366957473
2077,SSP1-1.9,1.6150859660770165,8.513894858896172,6.96379832057716,9.680454116025349
2078,SSP1-1.9,1.6147927157682065,8.593553718424612,7.0283482137078614,9.76062758778488
2079,SSP1-1.9,1.6061614750222835,8.671347253311598,7.0920796424504555,9.838966232092218
2080,SSP1-1.9,1.6073332020730773,8.747092613357035,7.163371521379921,9.913802973580532
2081,SSP1-1.9,1.6071133056726414,8.820730190509963,7.229413819937812,9.992636962931224
2082,SSP1-1.9,1.6095839376405927,8.893152325450215,7.293295212053801,10.064788456955
