year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
1990,SSP1-1.9,0.6172413401272017,-1.0443047943379253,-1.2177544351127125,-0.9142577859864159
1991,SSP1-1.9,0.6480920599899472,-0.9795267132711738,-1.142305699972399,-0.8577583990952622
1992,SSP1-1.9,0.6054709248449786,-0.9120917033091928,-1.0639160901957927,-0.7990422857755712
1993,SSP1-1.9,0.49579326119498635,-0.8485798827404611,-0.9897995760239761,-0.7435160706217803
1994,SSP1-1.9,0.5159107825733913,-0.7943154190791162,-0.9265196477058659,-0.6960948941512936
1995,SSP1-1.9,0.5766612473873399,-0.7383825587564862,-0.8613358429467947,-0.647235109542818
1996,SSP1-1.9,0.6411345082576302,-0.6772550224208272,-0.7902811777538888,-0.5939613474615577
1997,SSP1-1.9,0.6860734222790282,-0.6110029325130777,-0.7130063473341518,-0.5359785532409652
1998,SSP1-1.9,0.7181171626962323,-0.5410315791251646,-0.6312234931162561,-0.47469591095205926
1999,SSP1-1.9,0.7443055351790053,-0.46831124980534966,-0.5463789877804257,-0.41114636239573193
2000,SSP1-1.9,0.78080095281422,-0.3935364089932889,-0.4591465980565181,-0.3457671866902628
2001,SSP1-1.9,0.8277653991917374,-0.31617939590272565,-0.3688524068568789,-0.27781366625529424
2002,SSP1-1.9,0.8625038868905944,-0.23507652749436975,-0.27392518625580775,-0.20629330314332306
2003,SSP1-1.9,0.8825685123647669,-0.150863217037262,-0.17567969456803756,-0.13250407458350438
2004,SSP1-1.9,0.8931410769792334,-0.06533127336161779,-0.07589960643317908,-0.0574495064250117
2005,SSP1-1.9,0.8998718941653809,0.020866717981204985,0.017846099219550084,0.024922596754649133
2006,SSP1-1.9,0.9059038132337379,0.10754153764315905,0.09387095452739712,0.1253410045876275
2007,SSP1-1.9,0.9146854493265001,0.1943271138318263,0.17009169320020734,0.22665949455668405
2008,SSP1-1.9,0.9219150757625193,0.28198457959417694,0.2470786078369378,0.3289120773756272
2009,SSP1-1.9,0.944300568261457,0.3699384532123891,0.32448664430735014,0.4316721154027967
2010,SSP1-1.9,0.9618227486686342,0.45943266675252037,0.4032450037973846,0.5360619007672925
2011,SSP1-1.9,0.9819605692158233,0.5501096393618705,0.48312858360506966,0.641747749156013
2012,SSP1-1.9,1.0103928501951052,0.6421254396522997,0.5643190862035306,0.7491728189652082
2013,SSP1-1.9,1.0340522463545012,0.7368201066088709,0.6474030061582268,0.8595555868895268
2014,SSP1-1.9,1.0652103142894338,0.8331363592014196,0.7320190684761247,0.9719693634923074
2015,SSP1-1.9,1.0914259349003625,0.9318191491588856,0.8181128410314067,1.0865840060727323
2016,SSP1-1.9,1.1177753966933794,1.032278180083782,0.9057714463994042,1.2024321530747073
2017,SSP1-1.9,1.1393133518017833,1.134142061678282,0.9952278816710316,1.3202736876351935
2018,SSP1-1.9,1.175415859607348,1.237828891270418,1.086718753005577,1.4397859296153184
2019,SSP1-1.9,1.200456983653643,1.3439295258606756,1.1806569088612542,1.5637294978708116
2020,SSP1-1.9,1.2211523162961826,1.4517362117376384,1.275250601217962,1.6899825960831671
2021,SSP1-1.9,1.2498576819195004,1.5610337381580934,1.371132770647057,1.8179143736059418
2022,SSP1-1.9,1.2873623633433495,1.6726876920782985,1.469156905858675,1.948259198085366
2023,SSP1-1.9,1.3201324133687566,1.7873118258366034,1.5678267250483986,2.081798057371632
2024,SSP1-1.9,1.3568578210775863,1.9043943618599075,1.6683818749793409,2.2182475387188956
2025,SSP1-1.9,1.3903369961477834,2.022812822519619,1.7727411564636222,2.3562638952817365
2026,SSP1-1.9,1.4180804304179286,2.144201718117998,1.879931415662853,2.496668568871708
2027,SSP1-1.9,1.4389727599378017,2.2665774621106967,1.9881214611822724,2.6416809395725624
2028,SSP1-1.9,1.4587731197377305,2.390746156608967,2.0979688616668057,2.7831506656756533
2029,SSP1-1.9,1.4800601095579542,2.5152485906389064,2.2073962153538313,2.926332953976011
2030,SSP1-1.9,1.5014399982247582,2.641277943711395,2.3176480095821654,3.073034026796477
2031,SSP1-1.9,1.5173170464299282,2.768761692404295,2.4308162464372365,3.22106581769473
2032,SSP1-1.9,1.5307065376969737,2.8973350992741516,2.544825117173971,3.369972692453314
2033,SSP1-1.9,1.5465734325922176,3.0266745215282906,2.6594699808768834,3.519519425984528
2034,SSP1-1.9,1.5671110509396888,3.1568422063651953,2.774913029451152,3.669895456148705
2035,SSP1-1.9,1.5841388384189266,3.2889592164614037,2.8913530221148624,3.821394454897755
2036,SSP1-1.9,1.6006328248644293,3.4218445619500364,3.0086772621997326,3.9744014329565687
2037,SSP1-1.9,1.6169957510283692,3.5551233542770566,3.126868250182736,4.129771130874287
2038,SSP1-1.9,1.6298434075564416,3.689293785479422,3.244274905461576,4.286097420988224
2039,SSP1-1.9,1.6385820736479748,3.8244338941427642,3.3603919256623405,4.443005956414299
2040,SSP1-1.9,1.6428156592059031,3.960357746660949,3.4795155246312435,4.596094519636542
2041,SSP1-1.9,1.6432484624401003,4.09536163133162,3.598565640110436,4.752651436243762
2042,SSP1-1.9,1.6408285637472129,4.2291317235389165,3.716988088736096,4.9046760489874295
2043,SSP1-1.9,1.6454267760969612,4.361759673437826,3.8309694411691058,5.058467363865058
2044,SSP1-1.9,1.6490769725458105,4.494168401586347,3.9446476208347296,5.215581589501441
