year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.7162579834974032,-0.8844516141366328,-0.6337470257475025
1991,glaciers,fixed,-0.6830345143194441,-0.8389024867569739,-0.6067012386885188
1992,glaciers,fixed,-0.6461995712779358,-0.7873418727377302,-0.5756142292914666
1993,glaciers,fixed,-0.6261952401999853,-0.7549186301704006,-0.5603397395455014
1994,glaciers,fixed,-0.5853912315003673,-0.703660740230961,-0.5235090151201762
1995,glaciers,fixed,-0.5483537646297014,-0.6559674632414048,-0.4918238786112418
1996,glaciers,fixed,-0.5002641651494208,-0.5988946387709492,-0.44898618206039687
1997,glaciers,fixed,-0.45985440160634017,-0.5438809159165954,-0.4144463705784489
1998,glaciers,fixed,-0.4121658996318813,-0.4842311966499757,-0.3718595875847505
1999,glaciers,fixed,-0.33435028688972324,-0.39461031770036176,-0.30135681328272973
2000,glaciers,fixed,-0.29035450585623623,-0.340909686235991,-0.26194709472523786
2001,glaciers,fixed,-0.23995109298077644,-0.2805585444116514,-0.21631804068826382
2002,glaciers,fixed,-0.1792299726909483,-0.20750514435560963,-0.16200254102845504
2003,glaciers,fixed,-0.1152390226089306,-0.13085012775015076,-0.10441052840925508
2004,glaciers,fixed,-0.05096006162909772,-0.057870897537196694,-0.044920257172280036
2005,glaciers,fixed,0.0022810614620336622,-0.007194535258798185,0.011424497934949814
2006,glaciers,fixed,0.07608760930669112,0.06335943624722515,0.09519064430776555
2007,glaciers,fixed,0.1587967712448255,0.14153658476311776,0.1881254155894232
2008,glaciers,fixed,0.2233945275566933,0.20038458984718,0.26368518293760324
2009,glaciers,fixed,0.2700896434391149,0.24328124728962833,0.3199563630578843
2010,glaciers,fixed,0.3315422556971299,0.2985972849613532,0.3928553293427421
2011,glaciers,fixed,0.42839634739754207,0.386879257874812,0.5001100933117862
2012,glaciers,fixed,0.49229658280335453,0.4453457721341849,0.5744157948818653
2013,glaciers,fixed,0.5464129662020838,0.49426344021056595,0.637120431657849
2014,glaciers,fixed,0.6036035163200237,0.5463348774709097,0.7077067695990311
2015,glaciers,fixed,0.6764547264732332,0.6121293122678391,0.7886876383697181
2016,glaciers,fixed,0.7520595438868929,0.6813823227622352,0.8723857058230939
2017,glaciers,fixed,0.8794214118614527,0.7969770505386331,1.011477768462493
2018,glaciers,fixed,0.9606810026562531,0.8700502389883408,1.1026638294379711
2019,glaciers,fixed,1.0282184872276532,0.9307526914399574,1.183044144926175
2020,glaciers,fixed,1.1229268827488323,1.0166881777173669,1.2884667875942346
2021,glaciers,fixed,1.193773467158965,1.0807755185795995,1.3703287665720068
2022,glaciers,fixed,1.2639941422895347,1.1446532464400678,1.449718135430493
2023,glaciers,fixed,1.3376174110327548,1.212031582846255,1.5357723620785877
2024,glaciers,fixed,1.4314743253442956,1.2959096312258913,1.6399966736071014
2025,glaciers,fixed,1.5259794388717256,1.3802580706249268,1.7472691766584703
2026,glaciers,fixed,1.621807421849994,1.4670651865467628,1.8566405457656898
2027,glaciers,fixed,1.719345281876407,1.5557949887990925,1.9657711107182332
2028,glaciers,fixed,1.817001706668755,1.6442261979939548,2.075514293168603
2029,glaciers,fixed,1.9162352449229432,1.7326329226703832,2.1842613631350103
2030,glaciers,fixed,2.015976913457193,1.821678000656739,2.294946399378475
2031,glaciers,fixed,2.114691132042873,1.9103483727267148,2.406561013754696
2032,glaciers,fixed,2.215238115849563,1.9992077755846975,2.5184236461801635
2033,glaciers,fixed,2.315809104483459,2.0901081315513603,2.6297627071067433
2034,glaciers,fixed,2.417333103492219,2.180798775636645,2.7435702145626544
2035,glaciers,fixed,2.5203534058060724,2.2727171754291526,2.860879711979617
2036,glaciers,fixed,2.6234751749503205,2.366368643457054,2.9796332624833246
2037,glaciers,fixed,2.7304622272596686,2.4623282630213805,3.101552341842235
2038,glaciers,fixed,2.838604825136916,2.558074612907878,3.2256967149794624
2039,glaciers,fixed,2.9484535326428327,2.6558481037340083,3.3496312212094006
2040,glaciers,fixed,3.0606996518854745,2.755384646496556,3.4775163725514253
2041,glaciers,fixed,3.1718920493519476,2.8544932563853984,3.6015917562005146
2042,glaciers,fixed,3.284225173597999,2.954822804790841,3.726299164617735
2043,glaciers,fixed,3.3966570530922358,3.054708300426418,3.8530195158218388
2044,glaciers,fixed,3.508734376542078,3.1526991126035457,3.977203475598145
2045,glaciers,fixed,3.621110814753397,3.2516159584660245,4.1014742656862975
2046,glaciers,fixed,3.7343420351505863,3.351556566447683,4.228723285995878
2047,glaciers,fixed,3.847491932692711,3.448731825915941,4.356486253192213
2048,glaciers,fixed,3.9603420571924386,3.549196203205462,4.484080508425864
2049,glaciers,fixed,4.073757278151957,3.6476299199401216,4.606862486344766
2050,glaciers,fixed,4.1857455797624805,3.7468263715915073,4.737652292729937
2051,glaciers,fixed,4.295196689104514,3.843748966397144,4.860987722599842
2052,glaciers,fixed,4.407795808871741,3.9396328971334302,4.986460872214375
2053,glaciers,fixed,4.516504888783537,4.032038395056867,5.1116727314982935
2054,glaciers,fixed,4.623848176480488,4.125683175407823,5.235901974596397
2055,glaciers,fixed,4.731870687945259,4.217059226177075,5.353770724353539
2056,glaciers,fixed,4.836971729299116,4.3116454071015164,5.475252566723139
2057,glaciers,fixed,4.939881762564347,4.400931311332638,5.592890716403825
2058,glaciers,fixed,5.044197590977438,4.4911169789885586,5.714293255971105
2059,glaciers,fixed,5.147939200106144,4.581229080622415,5.833060753321617
2060,glaciers,fixed,5.252213498097934,4.666786114581077,5.946778658553182
2061,glaciers,fixed,5.352434732975139,4.750913599833046,6.062039917316029
2062,glaciers,fixed,5.453296655719296,4.838513786680427,6.177437384394026
2063,glaciers,fixed,5.551410753985451,4.923035613627197,6.289201267606536
2064,glaciers,fixed,5.645964094001907,5.0089377893080265,6.40208443567028
2065,glaciers,fixed,5.739431266297332,5.087002571788288,6.511465759397828
2066,glaciers,fixed,5.833507975897113,5.169143333036159,6.618774535350247
2067,glaciers,fixed,5.9250276987140795,5.250004617326236,6.724103513570427
2068,glaciers,fixed,6.015528569601882,5.3303621591215995,6.82959513880121
2069,glaciers,fixed,6.103886641851956,5.40679925321118,6.931741019547403
2070,glaciers,fixed,6.1900915708057,5.481136481654001,7.034503606995853
2071,glaciers,fixed,6.274773244786537,5.553112204093838,7.134776428658712
2072,glaciers,fixed,6.358563558856424,5.626262549765181,7.2324816334297495
2073,glaciers,fixed,6.442591562348387,5.698380875707665,7.331988037542492
2074,glaciers,fixed,6.5244176987540765,5.76961279059716,7.429749501869539
2075,glaciers,fixed,6.605937478830224,5.838224185132508,7.519671164006011
2076,glaciers,fixed,6.683954526706106,5.908524557613173,7.611121454464755
2077,glaciers,fixed,6.761489056535274,5.9695398333398035,7.704291830974927
2078,glaciers,fixed,6.836688161313438,6.031042329708121,7.790460336097498
2079,glaciers,fixed,6.9086645589410445,6.090377020958475,7.873079274829754
2080,glaciers,fixed,6.981478187927399,6.151936850156453,7.955720615047999
2081,glaciers,fixed,7.051230095747633,6.2130417180249085,8.041058183268195
2082,glaciers,fixed,7.121182299405476,6.272378150400334,8.123755369062803
2083,glaciers,fixed,7.190180030291611,6.330750338758781,8.206592164352797
2084,glaciers,fixed,7.259372836854897,6.385151531594811,8.289036784390857
2085,glaciers,fixed,7.324943432715084,6.43773043455854,8.3687027672581
2086,glaciers,fixed,7.389277401212404,6.490165709224949,8.446707109847727
2087,glaciers,fixed,7.45203277266671,6.541745144707242,8.52020348170268
2088,glaciers,fixed,7.514291582654151,6.5959014753314715,8.591523858478022
2089,glaciers,fixed,7.5740347709484865,6.648561187810988,8.660977353398447
2090,glaciers,fixed,7.634565993037308,6.695897879702785,8.728870866913345
2091,glaciers,fixed,7.690909119285028,6.742577662724531,8.797202744441142
2092,glaciers,fixed,7.746434990512829,6.788697370769432,8.864034093533334
2093,glaciers,fixed,7.800504678416138,6.832593535762139,8.930144250297486
2094,glaciers,fixed,7.854931950637905,6.875612048676191,8.994295187065747
2095,glaciers,fixed,7.907490138631291,6.9179091800443,9.05699622915126
2096,glaciers,fixed,7.959372439872823,6.960468377843966,9.119037780445664
2097,glaciers,fixed,8.011277351183924,7.002245785857225,9.179793918305174
2098,glaciers,fixed,8.058934386275128,7.044965224316898,9.237309191768748
2099,glaciers,fixed,8.106981215581536,7.084046044486577,9.29431536334303
2100,glaciers,fixed,8.152513330286602,7.122702749816183,9.349795487396916
2101,glaciers,fixed,8.195856972913406,7.1603905741733795,9.404315136343788
2102,glaciers,fixed,8.241175377278761,7.195213613129345,9.45789399908017
2103,glaciers,fixed,8.286887710263553,7.229508732043718,9.510653393658577
2104,glaciers,fixed,8.33031575545191,7.263453175071679,9.562906638482366
2105,glaciers,fixed,8.37215177702263,7.296694187120762,9.614250091604056
2106,glaciers,fixed,8.415519318401818,7.329257452029244,9.664713111180937
2107,glaciers,fixed,8.455908335145686,7.361139081826424,9.716374269966686
2108,glaciers,fixed,8.49584918107215,7.3937589855321795,9.766989068881129
2109,glaciers,fixed,8.533979089685232,7.424275316160417,9.814724061310628
2110,glaciers,fixed,8.572810580123317,7.451764772212048,9.86253687268673
2111,glaciers,fixed,8.609466147787145,7.479321926882563,9.907980603118638
2112,glaciers,fixed,8.645699741267261,7.5064829487894835,9.95416010782232
2113,glaciers,fixed,8.682061215056837,7.533088027627848,9.992230695001204
2114,glaciers,fixed,8.718014939267352,7.559146188842604,10.0343481466454
2115,glaciers,fixed,8.752931801399754,7.5861867593989825,10.079147756023955
2116,glaciers,fixed,8.787368798349661,7.6140357240557845,10.117374509308037
2117,glaciers,fixed,8.82003802481629,7.641429750127051,10.157004599952568
2118,glaciers,fixed,8.851789343024638,7.668372334863148,10.195188497404926
2119,glaciers,fixed,8.881456364610955,7.69457612183181,10.23225548333182
2120,glaciers,fixed,8.913476084510418,7.716282268180582,10.268211261391933
2121,glaciers,fixed,8.941745992975422,7.737159576685672,10.305474732697347
2122,glaciers,fixed,8.971443215204232,7.7612565453252875,10.34144249646724
2123,glaciers,fixed,9.001565312517474,7.780752804696287,10.378481415233605
2124,glaciers,fixed,9.028796045251177,7.801644622661555,10.413173115267991
2125,glaciers,fixed,9.055840274217772,7.820809605178155,10.443647428197268
2126,glaciers,fixed,9.082713036867233,7.8431408258621484,10.476419200830552
2127,glaciers,fixed,9.10877253185426,7.864458352634428,10.510655722421685
2128,glaciers,fixed,9.13614940655376,7.883013847221122,10.54411971545204
2129,glaciers,fixed,9.159942587379636,7.902224157771726,10.578267843721145
2130,glaciers,fixed,9.18374953399171,7.92176339780229,10.611810995082688
2131,glaciers,fixed,9.20628162189841,7.940709649890772,10.644364855668131
2132,glaciers,fixed,9.228619004494139,7.959045424898555,10.670840259738474
2133,glaciers,fixed,9.250122604865219,7.977083828015048,10.69461929933265
2134,glaciers,fixed,9.270251852084982,7.994472187783183,10.718943788163038
2135,glaciers,fixed,9.290855279966395,8.010855500777629,10.747410123205883
2136,glaciers,fixed,9.31064654774839,8.026097979071363,10.775761125587765
2137,glaciers,fixed,9.330194367882509,8.042592823967345,10.803674884999612
2138,glaciers,fixed,9.350721826929487,8.058694632078382,10.830653713320132
2139,glaciers,fixed,9.370169765511513,8.074584900742039,10.858406513697155
2140,glaciers,fixed,9.386290411174325,8.089934653788916,10.878007292503174
2141,glaciers,fixed,9.405128825724743,8.104717454111631,10.90197807101557
