ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvL,glaciers,2100,fixed,2000,8.133429530496928,8.165528007213446,7.104916339236134,9.323387578367711,2.2184712391315777,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2100,joint,2000,7.977162148161245,8.175949678035622,6.207870788208234,10.87914810853812,4.671277320329886,2.105628974553874,0.9807870244956637,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2150,fixed,2000,9.996997624921661,10.035011678781652,8.583710484465547,11.60664475063576,3.022934266170214,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2150,joint,2000,9.70388905063385,10.026833227557036,7.321707334298112,13.830286227644539,6.508578893346427,2.1530666300568324,0.9706803397094826,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2300,fixed,2000,11.553528748694516,11.60081125876002,9.673108977272816,13.700409540630368,4.027300563357551,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,glaciers,2300,joint,2000,11.169110058483193,11.572875709352761,8.133839163988453,16.168903430982382,8.03506426699393,1.9951488945476459,0.966727162014916,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2100,fixed,2000,6.329117187148999,6.316235427538766,5.13041157781785,7.431180586175873,2.3007690083580226,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2100,joint,2000,6.171322932768131,6.338802034412298,4.793707719439233,8.289464877058247,3.495757157619014,1.5193864072924959,0.9750685206617343,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2150,fixed,2000,8.431386650528776,8.43021800033041,6.578724230572639,10.289262951101328,3.710538720528689,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2150,joint,2000,8.150009633143636,8.463116211191013,5.998363668458516,11.661429188389127,5.66306551993061,1.5262111371051046,0.9666274328235803,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvL,gis,2300,fixed,2000,10.6094232461577,10.745071949399915,7.8106183745995015,14.002221432328184,6.191603057728683,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
